Ekspozycja (%),S-Log3 (%),Rec.709 (%),Twój LUT (%)
1,6.538912,4.5,0.7315211178688
6,11.343038586310627,21.0860170204118,3.3856403234559997
11,21.61592398578451,30.802810758695642,6.406162864
16,28.220288383631715,38.27832363189415,9.736738566400001
21,33.09750044152785,44.54981080354017,13.5852687232
26,36.9661669711218,50.042616913813006,18.1288547328
31,40.172760389945836,54.97994225203061,23.463906252799998
36,42.91111897284472,59.49590083708014,29.664829811199994
41,45.30072532385716,63.678414960777374,36.282055699199994
46,47.42046031937475,67.5887609726378,42.89817310080001
51,49.32514139164245,71.27163085705833,49.4455291136
56,51.0544130791314,74.76078763399265,55.75256851200001
61,52.63787664511159,78.08246353364356,61.568724851199995
66,54.098219876020025,81.25751202680203,66.9051238912
71,55.453215333064186,84.3028298859797,71.59781048319999
76,56.71704504318043,87.23233050977,75.76809575680001
81,57.90120695450427,90.05763011151755,79.6345472512
86,59.01515224421864,92.78854384751783,83.5140808512
91,60.066744025931214,95.43345243682528,87.49073252479998
96,61.062594343761454,97.99957828569114,91.48659221119999
